微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwEddfYIF,奈斯文化林彬辉,奈斯文化林彬辉:#健康##新冠肺炎# 新冠肺炎会肚子疼吗本问题由#有来医生# 特约专家 贾玉萍医生 为您解答！@微博健康医疗  新型冠状病毒肺炎主要临床表现是发热、咳嗽，一般情况下是干咳和呼吸困难，少见症状可以有上呼吸道感染表现，咽痛、流涕、喷嚏等，也可以有消化系统表现，如恶心、呕吐、腹泻。目前很少报道有腹痛患者，如果单纯腹痛，一定要首先排除消化系统其它疾病，如胃肠炎、阑尾炎等消化系统疾病，还要结合辅助检查结果，如血常规、胸片排除有没有冠状病毒肺炎或其它疾病。对有基础疾病的患者，如有肾功能不全或其它的心脏疾病，可能有不典型表现，所以要结合具体情况综合判断。 http://t.cn/A6748xOP ,无,无,2020-03-01 23:32,健康医疗 · 视频社区,2,0,0
IwEdbtbtN,马速宝润滑油南宁总代7065716202,马速宝润滑油南宁总代7065716202:【日本累计确诊新冠肺炎955例】  原图 ,无,无,2020-03-01 23:32,HUAWEI Mate 20,1,0,0
IwEdaCh1j,玉芳看江西,玉芳看江西:张胜兵用中药治愈新冠肺炎2000余例的经验总结 - 新闻栏目 - 中华高压氧医学信息中 http://t.cn/A67inmLR  原图 ,无,无,2020-03-01 23:32,萍乡猪猪女孩,19,6,7
IwEd8hpJI,9品带刀护卫,"9品带刀护卫:韩国首尔市长表示将有可能以杀人罪起诉新天地会长3月1日上午，首尔市长朴元淳在自己的脸书账号发布题为“新天地教总会长李万熙作为本次事件的核心责任人,请立即出面解决问题”的文章。朴元淳敦促李万熙等新天地教会人员向国民道歉，要求李万熙本人以及全体新天地教会教徒立即接受检查，积极配合防疫工作。朴元淳还表示，如果教会不采取必要措施，首尔市方面将按照此前预告，以过失杀人罪等罪名提起诉讼。#韩国疫情##新冠肺炎##万众一心 百毒不侵# ",无,无,2020-03-01 23:32,HUAWEI Mate 10,3,0,0
IwEd8fuWX,EMBA微金,EMBA微金:#新浪看点# 比尔·盖茨：新冠肺炎可能成为百年不遇的大流行病比尔·盖茨：新冠肺炎可能成为百年不遇的大流行病  ,无,无,2020-03-01 23:32,手机新浪网,0,0,0
IwEd6sFrm,蓬F_reallonely,蓬F_reallonely:北京新增2例境外输入新冠肺炎病例 #二月再见# 一个多月啦   终于可以吃到#热干面# 啦  而且还是平价   感谢团长   感谢小区志愿者#hello三月# 武汉  原图 ,无,无,2020-03-01 23:32,微博 weibo.com,0,0,0
IwEd6adZC,温江发布,温江发布:#晚安温江#【#每天处理400桶医疗废物的人# 转！让更多人认识他们！】疫情暴发后，武汉北湖云峰环保科技有限公司临危受命，转型处理新冠肺炎医疗废物。工人们每天处置400桶医疗废物，只能用手倒。当记者问，你知道它有多危险吗。工作人员说：“危险怎么办呢？总要有人干！”致敬！央视新闻的微博视频  ,无,无,2020-03-01 23:32,微博 weibo.com,1,1,2
IwEd6e3dO,湖北私家车广播,湖北私家车广播:【#陕西大厨为武汉医疗队做羊肉泡馍#】#新冠肺炎防控# #抗击新型肺炎进行时#几天前，三位陕菜国家级烹饪大师前往武汉。29日晚，一份份热气腾腾、配有糖蒜、辣椒酱的羊肉泡馍，送到陕西省第一批援湖北医疗队队员的房间。未来，大厨每天将为队员们烹制油泼面、肉夹馍、凉皮等地道的陕西家乡美味，用贴心的后勤保障支援医疗队抗疫工作。加油！http://t.cn/A67JlgGX ,无,无,2020-03-01 23:32,微博 weibo.com,3,0,1
IwEd6e45G,_YaminWang885,_YaminWang885:3月最想做的事 2 月 28日下午，全市消防救援队伍新冠肺炎病员转运洗消突击队武昌片区的队员们来到了武汉科技大学天佑医院，对从方舱医院出院的 21 名病员进行转运接送工作。 啥也不说了，跟消防同志加鸡腿加鸡腿！@武汉消防 武汉·画碟精致川菜(群星城店)  [组图共7张] 原图 ,无,无,2020-03-01 23:32,微博 weibo.com,0,0,0
IwEd5AZZP,木隹木,木隹木:#英国新增12名新冠肺炎感染者#感觉钉钉即将走上欧美市场  ,无,无,2020-03-01 23:32,前后2000万 OPPO R11,0,0,0
IwEd47CMJ,搞笑小说完本,搞笑小说完本:香港特区今天起对韩国发出红色旅游警示#韩专家称最坏情况是40%国民感染##韩国新增594例新冠肺炎##韩国首次出现患者二次感染##韩国监狱出现首例新冠肺炎# 吉娜可露露2019的微博视频  ,无,无,2020-03-01 23:31,微博云剪,0,0,0
IwEd47CMJ,搞笑小说完本,搞笑小说完本:香港特区今天起对韩国发出红色旅游警示#韩专家称最坏情况是40%国民感染##韩国新增594例新冠肺炎##韩国首次出现患者二次感染##韩国监狱出现首例新冠肺炎# 吉娜可露露2019的微博视频  ,无,无,2020-03-01 23:31,微博云剪,0,0,0
IwEd1qD1Z,10部让人笑成傻子的电影,10部让人笑成傻子的电影:香港特区今天起对韩国发出红色旅游警示#韩专家称最坏情况是40%国民感染##韩国新增594例新冠肺炎##韩国首次出现患者二次感染##韩国监狱出现首例新冠肺炎# 搞笑鳌的微博视频  ,无,无,2020-03-01 23:31,微博云剪,0,0,0
IwEd0fwJK,日照义务工作者联合会,日照义务工作者联合会:山东省委新冠肺炎疫情处置工作领导小组召开会议山东省委新冠肺炎疫情处置工作领导小组召开会议 山东省委新冠肺炎疫情处置工作领导小组召开会议  ,无,无,2020-03-01 23:31,海报新闻,0,0,0
IwEcZq0z8,石头FM,石头FM:#荷兰# 据BNO news 3月1日消息 荷兰报告新增3例新型冠状病毒病例，目前荷兰共有10例确诊病例，其中有些感染来源不明，还有一名妇女处于病重状态。#荷兰疫情##新型冠状病毒##新冠肺炎#  原图 ,无,无,2020-03-01 23:31,iPhone X,0,0,0
IwEcX3P3z,木火带带,木火带带:#英国新增12名新冠肺炎感染者#这还没算今天疯传的从布村输入广东的那粒得了，英国跪了  ,无,无,2020-03-01 23:31,无,1,0,1
IwEcW8xAq,FM963,FM963:【西班牙新冠肺炎确诊病例累计74例】央视新闻报道，截止到当地时间3月1日下午三点，西班牙新冠肺炎患者确诊人数已达74例。排名前三风险的大区为瓦伦西亚15例、马德里14例、安达卢西亚12例。同时本周日21点整（西班牙时间），西班牙将迎来最受关注的足球比赛，也是世界上最受关注的比赛之一：皇马和巴塞罗那俱乐部之间的对决。届时，预计在圣地亚哥·伯纳乌体育场会聚集8万名球迷。截止目前为止，西政府没有取消比赛的计划。 原图 ,无,无,2020-03-01 23:31,HUAWEI P30 Pro,0,0,0
IwEcVf5VU,九世天阳,九世天阳:#英国新增12名新冠肺炎感染者#前几天才看的……惊变28周……  原图 ,无,无,2020-03-01 23:31,坚果手机 R1,1,0,1
IwEcTto1j,奶粉味的反差萌,奶粉味的反差萌:#英国新增12名新冠肺炎感染者#这是要准备大爆发了吗？  ,无,无,2020-03-01 23:31,Redmi K30 5G先锋,0,0,0
IwEcRFIe8,奈斯文化林彬辉,奈斯文化林彬辉:#健康##新型冠状病毒# 新冠肺炎胸口会疼吗本问题由#有来医生# 特约专家 贾玉萍医生 为您解答！@微博健康医疗  新型冠状病毒肺炎常见的表现是咳嗽、发热和呼吸困难，少见表现可以有流鼻涕、喷嚏、咽痛、乏力，还有消化系统表现如恶心、呕吐、腹泻，还有少数患者可以有深呼吸时胸痛，但不是新型冠状病毒肺炎的常见表现。如果有胸痛要结合其它表现，如辅助检查血象、白细胞是否低、淋巴细胞是否低，胸片有没有肺炎等综合判断，单纯胸痛不是诊断新型冠状病毒肺炎的主要依据。很多疾病可以表现为胸痛，如普通细菌肺炎、支原体衣原体肺炎、肺肿瘤、肺栓塞都可以表现为胸痛，所以要结合其它辅助检查除外其它疾病引起的胸痛。 http://t.cn/A674REKU ,无,无,2020-03-01 23:31,健康医疗 · 视频社区,1,0,0
IwEcRFJZv,嘻嘻老徐,嘻嘻老徐:上班族如何预防新冠肺炎？ http://t.cn/A67bJmjX  原图 ,无,无,2020-03-01 23:31,学习强国客户端,0,0,0
IwEcS0Elk,小优莜,小优莜:#武汉人朱一龙为同胞加油# #朱一龙向上的光# 我们一起努力💪一起加油！武汉加油！中国加油！（朱一龙先生平安健康诸事顺利@朱一龙 ）#我们向光前行# #手写加油接力##万众一心抗击新冠肺炎#  小央视频的秒拍视频  ,无,无,2020-03-01 23:31,朱一龙超话,0,0,0
IwEcS2rmu,绿茶质检员,绿茶质检员:🐏 带人永久居住有一说一比新冠肺炎还恐怖8  ,无,无,2020-03-01 23:31,无,0,0,0
IwEcRo3Iw,风继续吹19760909,风继续吹19760909:#新冠肺炎仍非全球性流行病##世卫组织称新冠肺炎仍非全球性流行病#其他国家由于之前类似美国流感的爆发政府一直没有作为，病死率呢比新冠还高，现在面对新冠的病死率，外国有一部分认为我们大惊小怪，有一部分开始意识到政府对生命的态度和政策，开始正视。国外的发达国家的医疗水平还是比较高的但是没有中国政府和民间这么多人力物力的投入，所以显得比我们应对措施要少 http://t.cn/A6hsWUUX ,无,无,2020-03-01 23:31,iPhone客户端,0,0,0
IwEcPEX4p,happy冯军明,happy冯军明:视频：新冠肺炎实例影像学解析来了！ http://t.cn/A675hRTs @丁香园  ,无,无,2020-03-01 23:31,丁香客,0,0,0
IwEcPDHLl,重庆法制报,重庆法制报:【梁平区司法局代管异地社区矫正对象】新冠肺炎疫情期间，梁平区司法局坚持既强化监管、又强化疫情防控原则，确保社区矫正工作安全稳定。　　“非常感谢司法所工作人员在疫情期间对我的耐心教育和帮助。”近日，梁平区某社区矫正对象梁某某通过微信视频连线，向梁平区司法局紫照司法所工作人员表示感谢。随着疫情逐渐控制的缓解，“编外”社区矫正对象梁某某在梁平区司法局的协调帮助下，即将启程返回监管地鄂尔多斯市。　　春节前，社区矫正对象梁某某经请假批准从内蒙古鄂尔多斯市东胜区回到梁平。2月19日，梁平区司法局接受鄂尔多斯市东胜区司法局的委托，在新冠肺炎疫情期间代为履行监管职责，并决定由紫照司法所具体实施。　　为减少疫情期间人员流动，紫照司法所通过每天微信拍照签到，每两天视频连线汇报行踪，每两天向监管地司法局互通情况，不定期推送疫情防控知识等方式，落实委托监管职责，确保疫情期间梁某某依法接受社区矫正。（记者 黄金华 通讯员 赖正娇 龚 舸） ,无,无,2020-03-01 23:31,微博 weibo.com,1,0,0
IwEcPC5QM,青春山东,青春山东:#团妞点歌台# 【用歌声战“疫”，群星公益版《明天会更好》来啦！】1985年，在人们祈求世界和平的美好心愿中诞生了《明天会更好》这首经典作品。35年后，在抗击新冠肺炎疫情期间，@努力努力再努力x @William威廉陈伟霆 @陈立农 @陈楚生 @蔡健雅 @冯提莫 等众多明星歌手共同演绎的《明天会更好》，传递“即使再艰难，爱也不离开”的正能量，表达对战“疫”必胜的信心。 http://t.cn/A67b2IdG ,无,无,2020-03-01 23:31,无,11,0,4
IwEcP1PA8,被误读的莉莉安,被误读的莉莉安:#英国新增12名新冠肺炎感染者#英国快爆发了，希望平安  ,无,无,2020-03-01 23:31,无,3,0,0
IwEcMEpn1,Rachel在英国,Rachel在英国:#英国新增12名新冠肺炎感染者#一个学年总共就上不到七个月的课还罢工两次还再放两个月就不用上课直接考试了  [组图共2张] 原图 ,无,无,2020-03-01 23:31,奥力给的iPhone 11 Pro Max,133,5,38
IwEcLfnV4,湖南卫视新闻联播,湖南卫视新闻联播:#湖南防控新型肺炎# 【湖南加快“战时”科研攻关 充分发挥中医药作用】湖南加快“战时”科研攻关，加大中医药在新冠肺炎预防、临床诊疗等方面的研究与应用。湖南还派出18名省级中医专家，下沉到全省14个市州，指导实施中西医协同的临床救治工作，参与制定诊疗方案，积极发挥了中医药独特作用。国医大师刘祖贻等11位医学、药学专家通过反复分析论证，形成两个中药预防药方，已由省中医药管理局向全省推广，向复工复产企业免费发放。截至2月29号，已在1.4万多家企业发放2号方预防用中药558.4万人份。目前，由170多名中医人组成的“中医湘军”，正奋战在武汉和黄冈抗疫一线。截至2月29号，进驻江夏方舱医院的湖南中医医疗队已收治确诊病例96人，通过中西医结合治疗，取得良好效果。  http://t.cn/A67inOTy ,无,无,2020-03-01 23:31,360安全浏览器,5,22,1
IwEcHE9mu,挚爱是小宝,挚爱是小宝:#这次疫情让你看到了什么#       我看到了空荡荡的城。北海是全广西报告的第一例新冠肺炎的城市，后续疫情发展迅猛，一直是广西第二多病例的城市。本来碰上春节，街道上会是一幅熙熙攘攘的景象，但因为肺炎疫情，大家都乖乖待家里为抗疫做贡献，城市变得空空的，整座城笼罩在肃杀冷寂的氛围之下。       因为一些事情需要，我出过几次门，看到路上的人都是行色匆匆，全副武装；沿街商铺通通闭门歇业，商场关门，人行道上几乎看不到人；笔直的马路因为没几辆车，能一眼就望到好远好远的地方。 ,无,无,2020-03-01 23:31,iPhone客户端,0,0,0
IwEcHnPSA,天水麦积发布,天水麦积发布:高铁紧急转运肺源！为全球首例新冠肺炎病人肺移植手术赢得时间中国铁路高铁紧急转运肺源！为全球首例新冠肺炎病人肺移植手术赢得时间 天水  显示地图 ,无,无,2020-03-01 23:31,iPhone 6s Plus,0,0,0
IwEcHmtVE,北京城市资讯,北京城市资讯:【造“神”记：到底啥叫拼？复盘火神山、雷神山医院如何拔地而起】2020年伊始，新冠肺炎肆虐，在10天8天的极限时间内，“基建狂魔”创造建设奇迹。时间紧物资多、传染病医院工程难、人员难召集……回想施工难度，身处一线的建设者们依旧历历在目。 #抗疫我们在行动# Via@中新视频     http://t.cn/A67VnJ7h  ,无,无,2020-03-01 23:31,无,1,0,1
IwEcHmqbf,紧急呼叫,紧急呼叫:【#北京车站守门人瞒母亲上一线# 疫情结束要好好抱孙子】3月1日，北京黄村火车站王少权和疫情防控排查组的队员一起给旅客登记。在岗位上坚守了四十年的王少权还有一个月退休，他瞒着八十多岁的母亲，担起了火车站旅客排查任务。疫情过去后最想做什么，他说：“肯定要先看看老母亲，然后好好抱抱孙子。” #聚焦新冠肺炎疫情#@新京报我们视频  http://t.cn/A67a7Ylv ,无,无,2020-03-01 23:31,无,21,2,3
IwEcH4M8F,中天電視官方NEWS,中天電視官方NEWS:【15档现金大方配 保平安】#新冠肺炎#疫情扩散、市场避险情绪高涨，导致美国10年期债券殖利率跌至史上新低点，与股利利差扩大。法人认为，待疫情高峰期过后，资金有机会由债市转向股市，包括京城银、宜鼎等15檔高殖利率股，法人2月以来加码，可望抗股海震荡、保平安。更多详情：http://t.cn/A67inpsj  原图 ,无,无,2020-03-01 23:31,微博 weibo.com,1,0,2
IwEcH6rh1,温秀军Jason,温秀军Jason:【特朗普称像对待流感一样对待新冠肺炎】他说只要不摸扶手，躲开打喷嚏的人，就不会染病。#权威发布##美国疫情##特朗普称疫情被媒体夸大##特朗普弄错首例新冠肺炎死者性别# 当病毒在中国：政府会尽力救治当病毒在西方：上帝会让你痊愈当病毒在中国：这是瘟疫！当病毒在西方：噢，别担心，这就是个感冒！#共同战疫##新冠肺炎##关注新冠肺炎##意大利疫情##法国疫情##韩国疫情##日本疫情##伊朗疫情##武汉加油##美国加州出现第二例感染途径不明病例# http://t.cn/A672886n http://t.cn/RyhYNv0 显示地图 ,无,http://t.cn/RyhYNv0,2020-03-01 23:31,iPhone客户端,4,2,1
IwEcFCqjy,话兰州,话兰州:【造“神”记：到底啥叫拼？复盘火神山、雷神山医院如何拔地而起】2020年伊始，新冠肺炎肆虐，在10天8天的极限时间内，“基建狂魔”创造建设奇迹。时间紧物资多、传染病医院工程难、人员难召集……回想施工难度，身处一线的建设者们依旧历历在目。 #抗疫我们在行动# Via@中新视频     http://t.cn/A67VnJ7h  ,无,无,2020-03-01 23:31,无,1,0,3
IwEcCEwFI,聚合提醒,聚合提醒:#疫情聚合##疫情通报#【德国新冠肺炎确诊病例累计117例】北莱茵 - 威斯特法伦州  66 例巴伐利亚  19 例巴登 - 符腾堡州  15例黑森州  8 例莱茵兰 - 普法尔茨  2 例石勒苏益格荷尔斯泰因州  2例撤侨  2 例不来梅  1 例汉堡  1 例下萨克森州  1 例（罗伯特·科赫研究所） 【转自：http://t.cn/A67I7VaT 】 ,无,无,2020-03-01 23:30,微博 weibo.com,0,0,0
IwEcCARII,奈斯文化林彬辉,奈斯文化林彬辉:#健康##新型冠状病毒# 新冠肺炎会头疼吗本问题由#有来医生# 特约专家 贾玉萍医生 为您解答！@微博健康医疗  新型冠状病毒肺炎的主要症状是发热、干咳、呼吸困难，少见表现可以有咽痛、流鼻涕、喷嚏、全身肌肉酸痛、头痛，消化系统症状如恶心、呕吐、腹泻，患有基础疾病如心脏病、肾病的患者可以有其它表现，头痛可以是新型冠状病毒肺炎的表现，但不是常见表现。少部分患者才会有头痛，不能单纯根据头痛症状判断是否患有新冠状病肺炎，一定要结合其它表现如辅助化验检查、血常规有没有白细胞降低、淋巴细胞降低，还要观察胸部影像学有没有胸部CT异常、有没有肺炎等情况。因为很多疾病都可以有头痛，如普通感冒、流感、其它病毒感染、发热本身也可以引起头痛，故不要单纯凭头痛判断是否得了新型冠状病毒肺炎，自己不太清楚的情况下，可以到医院或通过微信等其它途径咨询，请医生判断。 http://t.cn/A674E0TD ,无,无,2020-03-01 23:30,健康医疗 · 视频社区,1,0,0
IwEcAi0G7,安徽日报,安徽日报:【晚安，朋友】“我们战胜了病毒，却像病毒一样被排挤。” 近日，一位新冠肺炎康复者发布的网络求助信，让人心酸。人们对病毒的恐惧可以理解，但无限升级甚至转化为歧视，是对同胞的不公，也不利于防控疫情。人类共同的敌人是病毒，而不是人类。发生在一个无辜人身上的苦难，也有可能发生在所有人身上。用科学理性的态度应对疫情，不让恐慌误解蒙蔽我们的双眼，才能携手战“疫”、共克时艰。祝您好梦！ 原图 ,无,无,2020-03-01 23:30,Android,6,2,2
IwEczE2R0,阳江新闻NEWS,阳江新闻NEWS:#阳江：防控新型冠状病毒感染肺炎# 【焦兰生主持召开专题工作会议听取监管场所疫情防控工作汇报 强化防控措施确保监管场所安全稳定】3月1日上午，市委书记、市人大常委会主任、市新冠肺炎防控指挥部总指挥焦兰生主持召开专题工作会议，听取监管场所疫情防控工作情况汇报，研究进一步做好监管场所疫情防控工作。http://t.cn/A67in93W 原图 ,无,无,2020-03-01 23:30,HUAWEI P30,0,0,0
IwEcybjf4,娱乐玛,娱乐玛:韩国确诊人数破千，大批韩国人逃往中国一组数据能显示真相#韩专家称最坏情况是40%国民感染##韩国新增594例新冠肺炎##韩国首次出现患者二次感染##韩国监狱出现首例新冠肺炎# 娱乐玛的微博视频  ,无,无,2020-03-01 23:30,微博云剪,0,0,0
IwEcxACkC,校园速递,校园速递:【#6名纯中医治疗新冠肺炎患者出院#】3月1日，在雷神山医院接受治疗的16名新冠肺炎患者符合了出院标准，其中6名患者采用纯中医药治疗。 #坚定信心 战“疫”必胜#  @中新视频 中新视频的秒拍视频  石嘴山  显示地图 ,无,#坚定信心 战“疫”必胜#,2020-03-01 23:30,HUAWEI Mate 20,1,0,0
IwEcwsdx6,心来观海007,心来观海007:新冠肺炎在国外传染的速度非常快，这要蔓延全球的节奏？#关注新冠肺炎#【#全球除中国外已现7600余例新冠肺炎病例#】截至北京时间3月1日20时，中国以外共61个国家和地区报告新冠肺炎累计确诊病例7600余例，已有七国的累计确诊病例逾一百例。①韩国累计确诊病例3736例，当日新增586例，死亡18例；②日本新冠肺炎确诊感染者共955人；③伊朗累计确诊978例，死亡54例，175人治愈出院；④意大利累计确诊1128例，死亡29例，治愈50例。http://t.cn/A67i6xOg #共同战疫# ,无,无,2020-03-01 23:30,iPhone客户端,1,0,2
IwEcwsc1C,朱常军,朱常军:#财经[超话]#【#中东各国股指周日全线暴跌# 】据阿拉伯国有电视台报道，由于投资者对阿拉伯海湾地区的新冠肺炎疫情蔓延十分担忧，科威特股市在地时间周日早上开盘后的30分钟内暴跌11%，创有记录以来最大盘中跌幅，触发熔断机制后暂停了今日剩余时间的所有交易。截至今日暂停交易时，该国最大金融机构科威特国民银行跌幅达到14.5%。科威特证券交易所在官网先后发布四份公告，宣布从上午10：30开始暂停今日剩余时间所有交易。除科威特外，中东多国股市在周日上午也出现大跌，阿布扎比综合指数下跌3.76%，创2016年1月以来最大盘中跌幅；迪拜DFM综合指数盘中一度下跌5.1%，创2018年12月以来新低，并创2015年8月以来的最大单日百分比跌幅，其中该国最大银行阿联酋迪拜国民银行一度暴跌7.6%。沙特证券交易所指数下跌2.97%，该国最大银行拉杰赫银行下挫3.6%，沙特国有石油巨头沙特阿美下挫2.4%，报32.55里亚尔，盘中创去年12月11日IPO以来的新低。沙特今日称，该国2019年全年的经济几乎零增长。埃及开罗EGX30指数盘中一度暴跌逾6%。埃及今日推出特殊措施，从而让该国上市公司更容易能买到埃及国债。根据埃及金融监管机构宣布的新规定，该国上市公司将可以在计划购买国债当天通知交易所，而不是此前的必须提前三天通知。#今日看盘[超话]# 原图 ,无,无,2020-03-01 23:30,财经超话,1,0,0
IwEcwpBSq,武宣检察,武宣检察:发布了头条文章：《新冠肺炎30个最新判断》  新冠肺炎30个最新判断  ,无,无,2020-03-01 23:30,微博 weibo.com,3,0,0
IwEcwauCJ,澳門城市快報史丹利,澳門城市快報史丹利:【兩岸】成功為患者移植雙肺　或助降死亡率新冠肺炎疫情持續，內地繼早前開展血漿療法，有醫療團隊2月29日成功完成全球首例新冠肺炎雙肺移植手術；病人術後已清醒，移植雙肺功能氧合良好，生命體徵平穩。有專家認為，是次手術或有助降低疫情死亡率，為更多晚期的新冠肺炎危重症患者帶來希望。內地傳媒報道，59歲男患者來自江蘇省，1月23日發病，3日後確診新冠肺炎，經插管、人工心肺機（ECMO）和藥物治療後，連續核酸檢測呈陰性，但雙肺功能已嚴重受損。內地著名肺移植專家、中日友好醫院肺移植科主任、南醫大無錫市人民醫院副院長陳靜瑜日前為患者進行雙肺移植手術，肺部由腦死亡患者捐贈，在外省獲取經高鐵轉運7小時至無錫。陳靜瑜表示，接受肺移植手術有3個前提條件，包括新冠肺炎患者經呼吸機及人工心肺機維持，雙肺呼吸衰竭不可逆，且核酸檢測連續多次呈陰性，而其他臟器功能基本正常，全身狀況能夠承受肺移植手術，方可進行。他指出，為新冠肺炎患者做手術風險較大，且醫護人員要在負壓手術室間，全程穿上防護衣做手術，對心理和體力考驗極大。醫療團隊將密切觀察病人，重點探索此類患者的手術前後期管理，做好移植後抗排異、抗感染後續治療，再總結經驗救治更多晚期的新冠肺炎危重症患者。 ,无,无,2020-03-01 23:30,微博 weibo.com,0,0,0
IwEcw8YHZ,中国新闻周刊,中国新闻周刊:【 法医#刘良还原首例新冠肺炎逝者尸检#：对逝者长时间鞠躬，像站在核辐射的核心区域】#周刊君与你共同战疫# 3月1日，华中科技大学同济医学院法医学系教授刘良在采访中，还原了首例新冠肺炎逝者遗体解剖全过程。刘良称，这次解剖是一次“很冒险的事情”，就像是站在核辐射的核心区域，很多过程需要很快做完，累到“缺氧”。@一手Video http://t.cn/A67iTeue ,无,无,2020-03-01 23:30,无,668,85,110
IwEcu5uvz,搞笑幽默句子,搞笑幽默句子:首尔市长 韩国闹MERS的时中国可没有禁止韩国人入境#美国出现首例新冠肺炎死亡病例##新冠肺炎病毒几乎人人易感##新冠肺炎全球风险级别调为非常高# 坤坤加油2020的微博视频  ,无,无,2020-03-01 23:30,微博云剪,0,0,0
IwEctsOob,我才是青青草原原主,我才是青青草原原主:#英国新增12名新冠肺炎感染者# 害求求直接停课8  ,无,无,2020-03-01 23:30,iPhone客户端,8,0,0
IwEcsAkfB,欣欣梓墨,欣欣梓墨:中国，加油#英国新增12名新冠肺炎感染者# 深圳·佳年华购物广场  显示地图 原图 ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:30,HUAWEI P30,0,0,0
IwEcrqo0M,生命时报,生命时报:【专访法医刘良：揭开首例新冠肺炎遗体解剖背后的故事】刘良，华中科技大学同济医学院法医学系教授，早在1月22日他就公开发文，强调对新冠患者进行病理解剖的必要性： “死亡病例上千，尚无一例病理解剖。 病理学是疾病诊断的金标准，早一天做至少可以多救几个人吧。 ”2月16日，刘良团队完成首例新冠肺炎遗体解剖，这背后有哪些故事？是什么原因让刘良团队一定要回到风暴核心做病体解剖？刘良说，做法医从刚开始是一种刺激，到后来变成一种责任。法医其实就是翻译，遗体不会说话，法医要做的就是把死者的语言翻译给不懂的人听。 http://t.cn/A67iXY98 ,无,无,2020-03-01 23:30,微博 weibo.com,63,43,3
IwEcr9gnx,上海普通老百姓,上海普通老百姓:【上海战疫】新冠肺炎上海方案多学科协作“一人一策” http://t.cn/A67MuDFr  原图 ,无,无,2020-03-01 23:30,学习强国客户端,0,0,0
IwEcqtVnN,广东共青团,广东共青团:【住建部：疫情期间我国城市环卫作业量较平时至少增加一倍以上】#疫情期间环卫工作量翻倍#据@新华视点 记者1日从住房和城乡建设部获悉，新冠肺炎疫情期间我国城市环卫行业在岗率超过90%，各城市普遍增加了清扫保洁和消毒杀菌作业频次和范围，作业量较平时至少增加一倍以上。 谢谢你们始终坚守岗位，感谢所有为战疫付出的人们，#谢谢每个平凡的中国人#！ （广州日报） [组图共9张] 原图 ,无,无,2020-03-01 23:30,无,56,6,11
IwEcpmqFb,沧县教育局在线,沧县教育局在线:沧州最后3名新冠肺炎确诊患者治愈出院@掌握沧州 @沧州这点事儿 @微博沧县 @沧县中学  | 沧州最后3名新冠肺炎确诊患者治愈出院  原图 ,无,无,2020-03-01 23:30,小米浏览器,1,0,0
IwEcorz5E,海外疫情资讯,海外疫情资讯:🇨🇿捷克共和国首次确诊3例新冠患者，都和意大利有关。#新冠肺炎##COVID-19##新冠-捷克#  ,无,无,2020-03-01 23:30,iPhone 11,0,0,0
IwEcosssr,洪家小酥糖,洪家小酥糖:欧尼身材也太好了吧☁️ 希望韩国🇰🇷 的疫情也能快快好起来呀！大家一起加油#hello三月##天气即天意##韩国新冠肺炎增至1146例#  [组图共6张] 原图 ,无,无,2020-03-01 23:30,nova4自拍极点全面屏,1,0,0
IwEcnz4uq,爷们柠栀20863,爷们柠栀20863:币圈的牛估计中了新冠肺炎了，被隔离了 梅州 爷们柠栀20863的微博视频  显示地图 ,无,无,2020-03-01 23:30,华为手机 畅享玩不停,0,2,0
IwEclwfLA,寻人总动员鸣警,寻人总动员鸣警:【美国小哥讲述在美国的隔离见闻】2日，美国小哥马思瑞从北京飞抵华盛顿。落地后，机场却未采取防疫措施，这让他十分惊讶。返美后，马思瑞先自我隔离了14天，还视频连线武汉大学人民医院传染病科主任为国外网友辟谣。现在，他身边的美国人如何看待新冠肺炎？ 黄金眼融媒的微博视频  ,无,无,2020-03-01 23:30,微博云剪,9,7,1
IwEck10Bk,打个嗝都是锦鲤的形状,打个嗝都是锦鲤的形状:#英国新增12名新冠肺炎感染者#当初回来上学的时候，我是怎么都没想到英国会爆发，更没想到就点毒萨里英国说大不大说小不小，我就在英国武汉呗，萨里还不停课 英国·萨里郡  显示地图 ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:30,iPhone XS,4,0,4
IwEciegx9,天津发布,天津发布:【艺术无国界 天津多举措服务观众“云观演”】新冠肺炎疫情来袭，各国艺术家通过天津大剧院的平台，向中国人民表达他们的祝福与抗击病毒的决心与心愿。　　在距离中国千里之外的捷克，进行了一场没有现场观众的演出，捷克爱乐乐团的音乐家们自发来到音乐厅，特别演奏《茉莉花》为中国加油，也把此曲献给在一线战斗的医务人员。http://t.cn/A67iVjjB http://t.cn/A67inJdr ,无,无,2020-03-01 23:30,微博 weibo.com,16,3,2
